title,artist,original_language,corrected_language
Here With Me,d4vd,Hindi,English
you broke me first,Tate McRae,Hindi,English
GIRL LIKE ME,"Black Eyed Peas, Shakira",Hindi,English
Breaking Me,"Topic, A7S",Hindi,English
Without Me,Eminem,Hindi,English
All of Me,John Legend,Hindi,English
Rescue Me,OneRepublic,Hindi,English
Without Me,Halsey,Hindi,English
Why'd You Only Call Me When You're High?,Arctic Monkeys,Hindi,English
Cover Me In Sunshine,"P!nk, Willow Sage Hart",Hindi,English
Take on Me,a-ha,Hindi,English
Se Te Nota (with Guaynaa),"Lele Pons, Guaynaa",Hindi,English
Kiss Me More (feat. SZA),"Doja Cat, SZA",Hindi,English
Dont Blame Me,Taylor Swift,Hindi,English
Hate Me (with Juice WRLD),"Ellie Goulding, Juice WRLD",Hindi,English
Maan Meri Jaan,King,Hindi,English
Slumber Party (feat. Princess Nokia),"Ashnikko, Princess Nokia",English,Hindi
There's Nothing Holdin' Me Back,Shawn Mendes,Hindi,English
Wake Me Up,Avicii,Hindi,English
On Me,Lil Baby,Hindi,English
Here With Me,"Marshmello, CHVRCHES",Hindi,English
Let Me Down Slowly,Alec Benjamin,Hindi,English
Quero Ver Me Esquecer (feat. Jorge) - Ao Vivo,"Os Bares Da Pisadinha, Jorge",Hindi,English
Lose You To Love Me,Selena Gomez,Hindi,English
Take Me To Church,Hozier,Hindi,English
You All Over Me (feat. Maren Morris) (Taylors Version) (From The Vault),"Taylor Swift, Maren Morris",Hindi,English
I Like Me Better,Lauv,Hindi,English
Take Me Back to London (feat. Stormzy),"Ed Sheeran, Stormzy",Hindi,English
CMO SE SIENTE - Remix,"Jhay Cortez, Bad Bunny",Hindi,English
Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Hindi,English
Just Give Me a Reason (feat. Nate Ruess),"P!nk, Nate Ruess",Hindi,English
Jhoome Jo Pathaan,Vishal-Shekhar,English,Hindi
you should see me in a crown,Billie Eilish,Hindi,English
Stay With Me,Sam Smith,Hindi,English
HACIENDO QUE ME AMAS,Bad Bunny,Hindi,English
Me and Your Mama,Childish Gambino,Hindi,English
Daisy,Ashnikko,English,Hindi
Give It To Me - Full Vocal Mix,Matt Sassari,Hindi,English
"Besharam Rang (From ""Pathaan"")",Vishal-Shekhar,English,Hindi
Leave Before You Love Me (with Jonas Brothers),Marshmello,Hindi,English
Reminds Me Of You,"Juice WRLD, The Kid LAROI",Hindi,English
Drag Me Down,One Direction,Hindi,English
Don't Stop Me Now - Remastered 2011,Queen,Hindi,English
No Se Va,Morat,Hindi,English
Easy On Me,Adele,Hindi,English
Don't Call Me Up,Mabel,Hindi,English
Thinkin Bout Me,Morgan Wallen,Hindi,English
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)","Pitbull, Ne-Yo, Afrojack, Nayer",Hindi,English
you were good to me,"Jeremy Zucker, Chelsea Cutler",Hindi,English
Si Me Tomo Una Cerveza,"Migrantes, Alico",Hindi,English
Let Me Love You,"DJ Snake, Justin Bieber",Hindi,English
Hold Me While You Wait,Lewis Capaldi,Hindi,English
Me Fije,"Alex Rose, Rauw Alejandro",Hindi,English
"Happy - From ""Despicable Me 2""",Pharrell Williams,Hindi,English
I CAN'T STOP ME,TWICE,Hindi,English
No Pode Se Apaixonar,"Xand Avio, DJ Ivis, Mc Danny",Hindi,English
"Dear Maria, Count Me In",All Time Low,Hindi,English
Got It On Me,Pop Smoke,Hindi,English
Dead To Me,Kali Uchis,Hindi,English
Needed Me,Rihanna,Hindi,English
Lean Wit Me,Juice WRLD,Hindi,English
Forget Me,Lewis Capaldi,Hindi,English
Quireme Mientras Se Pueda,Manuel Turizo,Hindi,English
You Get Me So High,The Neighbourhood,Hindi,English
You Shook Me All Night Long,AC/DC,Hindi,English
Don't Let Me Down,"The Chainsmokers, Daya",Hindi,English
Bring Me To Life,Evanescence,Hindi,English
Si Me Dices Que S,"Reik, Farruko, Camilo",Hindi,English
You Belong With Me (Taylors Version),Taylor Swift,Hindi,English
SLUT ME OUT,NLE Choppa,Hindi,English
Evergreen (You Didnt Deserve Me At All),Omar Apollo,Hindi,English
How You Remind Me,Nickelback,Hindi,English
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,Hindi,English
"Kesariya (From ""Brahmastra"")",Pritam,English,Hindi
Die 4 Me,Halsey,Hindi,English
forget me too (feat. Halsey),"Machine Gun Kelly, Halsey",Hindi,English
Please Me,"Cardi B, Bruno Mars",Hindi,English
Wake Me Up Before You Go-Go,Wham!,Hindi,English
Kiss Me More (feat. SZA),Doja Cat,Hindi,English
Leave Me Alone,Flipp Dinero,Hindi,English
Call Me Maybe,Carly Rae Jepsen,Hindi,English
"Don't Give Up On Me - (From ""Five Feet Apart"")",Andy Grammer,Hindi,English
"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld, Alesso, Florida Georgia Line, watt",Hindi,English
Envy Me,Calboy,Hindi,English
No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Hindi,English
Show Me How,Men I Trust,Hindi,English
Take Me Out,Franz Ferdinand,Hindi,English
Me Rehso,Danny Ocean,Hindi,English
Love Me Less (feat. Quinn XCII),"MAX, Quinn XCII",Hindi,English
Pray For Me,The Weeknd,Hindi,English
Can You Feel My Heart,Bring Me The Horizon,Hindi,English
Cooler Than Me,Lucky Luke,Hindi,English
MONTERO (Call Me By Your Name),Lil Nas X,Hindi,English
Turn Me On (feat. Vula),"Riton, Oliver Heldens, Vula",Hindi,English
Me La Avente,Carin Leon,Hindi,English
Stand by Me,Ben E. King,Hindi,English
Si Me Sobrara el Tiempo,Duki,Hindi,English
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,Hindi,English
Love Me,Lil Wayne,Hindi,English
Best Part of Me (feat. YEBBA),"Ed Sheeran, YEBBA",Hindi,English
Me And My Broken Heart,Rixton,Hindi,English
All Eyez On Me (ft. Big Syke),"2Pac, Big Syke",Hindi,English
Basta Voc Me Ligar - Ao Vivo,"Os Bares Da Pisadinha, Xand Avio",Hindi,English
This Is Me,"Keala Settle, The Greatest Showman Ensemble",Hindi,English
Me Gusta (with Cardi B & Myke Towers),"Anitta, Myke Towers, Cardi B",Hindi,English
Look What You Made Me Do,Taylor Swift,Hindi,English
Walk Me Home,P!nk,Hindi,English
It Wasn't Me,"Shaggy, Rik Rok",Hindi,English
Killing Me Softly With His Song,"Fugees, Ms. Lauryn Hill",Hindi,English
Love Me Harder,Ariana Grande,Hindi,English
Me Dediqu a Perderte,Alejandro Fernndez,Hindi,English
Me Acostumbre A Lo Bueno,Fuerza Regida,Hindi,English
Let Me Know (I Wonder Why Freestyle),Juice WRLD,Hindi,English
Mayonaka no Door / Stay With Me,Miki Matsubara,Hindi,English
Kiss Me Thru The Phone,"Soulja Boy, Sammie",Hindi,English
Me and My Husband,Mitski,Hindi,English
Start Me Up - Remastered,The Rolling Stones,Hindi,English
SET ME FREE,TWICE,Hindi,English
Si Se Da - Remix,"Myke Towers, Farruko, Arcangel, Sech, Zion",Hindi,English
"Take Me Home, Country Roads",John Denver,Hindi,English
Believe Me,Navos,Hindi,English
Solo Me Dejaste,Grupo Marca Registrada,Hindi,English
Club Can't Handle Me (feat. David Guetta),"Flo Rida, David Guetta",Hindi,English
Kiss Me,Sixpence None The Richer,Hindi,English
You And Me,Lifehouse,Hindi,English
Tell Me Why (Taylors Version),Taylor Swift,Hindi,English
Cover Me Up,Morgan Wallen,Hindi,English
Kiss Me,Dermot Kennedy,Hindi,English
CRY FOR ME,TWICE,Hindi,English
Put It All on Me (feat. Ella Mai),"Ed Sheeran, Ella Mai",Hindi,English
Want to Want Me,Jason Derulo,Hindi,English
sex money feelings die - slowed version,Lykke Li,German,Hindi
You Can Call Me Al,Paul Simon,Hindi,English
Sun to Me,Zach Bryan,Hindi,English
Love Me,Lil Tecca,Hindi,English
She Got the Best of Me,Luke Combs,Hindi,English
Looking for Me,"Paul Woolford, Diplo, Kareen Lomax",Hindi,English
Wake Me up When September Ends,Green Day,Hindi,English
Ayer Me Llam Mi Ex Remix,"KHEA, Natti Natasha, Prince Royce, Lenny Santos",Hindi,English
It Ain't Me (with Selena Gomez),"Kygo, Selena Gomez",Hindi,English
Me and My Guitar,A Boogie Wit da Hoodie,Hindi,English
Ayer Me Llam Mi Ex (feat. Lenny Santos),"KHEA, Lenny Santos",Hindi,English
My Mind & Me,Selena Gomez,Hindi,English
Build Me Up Buttercup - Mono,The Foundations,Hindi,English
"Take Me Home, Country Roads - Rerecorded",John Denver,Hindi,English
Stay,"Rihanna, Mikky Ekko",English,Hindi
Me + All Your Reasons,Morgan Wallen,Hindi,English
Love Me Like You Do,Ellie Goulding,Hindi,English
Stay Next To Me (with Chelsea Cutler),"Quinn XCII, Chelsea Cutler",Hindi,English
Ya Me Enter,Reik,Hindi,English
Me Gusta,"Shakira, Anuel AA",Hindi,English
Talk To Me,"Drakeo the Ruler, Drake",Hindi,English
Leave Me Alone,NF,Hindi,English
If You Leave Me Now,Chicago,Hindi,English
Let Me Love You,Mario,Hindi,English
Stay With Me,1nonly,Hindi,English
Safe With Me (with Audrey Mika),"Gryffin, Audrey Mika",Hindi,English
STUPID (feat. Yung Baby Tate),"Ashnikko, Yung Baby Tate",English,Hindi
Cooler Than Me - Single Mix,"Mike Posner, Gigamesh",Hindi,English
lie to me,"Tate McRae, Ali Gatie",Hindi,English
Ride Wit Me,"Nelly, City Spud",Hindi,English
Tell Me U Luv Me (with Trippie Redd),"Juice WRLD, Trippie Redd",Hindi,English
Se Prepar,Ozuna,Hindi,English
Try Me,Lil Mosey,Hindi,English
Meet Me At Our Spot,THE ANXIETY,Hindi,English
"Because You Loved Me (Theme from ""Up Close and Personal"")",Cline Dion,Hindi,English
Count on Me,Bruno Mars,Hindi,English
Se Ele Soubesse - Ao Vivo Em Goinia / 2022,Guilherme & Santiago,Hindi,English
Lay Me Down,"Sam Smith, John Legend",Hindi,English
Let Me Love You Like A Woman,Lana Del Rey,Hindi,English
All To Me,Giveon,Hindi,English
She Had Me At Heads Carolina,Cole Swindell,Hindi,English
Don't Call Me,SHINee,Hindi,English
Let You Love Me,Rita Ora,Hindi,English
Nothing Is Lost (You Give Me Strength),The Weeknd,Hindi,English
You're Gonna Live Forever in Me,John Mayer,Hindi,English
Kesariya,Pritam,English,Hindi
Don't You Want Me,The Human League,Hindi,English
Ya Me Enter,Chayn Rubio,Hindi,English
Die For Me (feat. Future & Halsey),"Post Malone, Halsey, Future",Hindi,English
La Escuela No Me Gust,"Adriel Favela, Javier Rosas",Hindi,English
Ella Me Levanto,Daddy Yankee,Hindi,English
Me Provocas,"Dynoro, Fumaratto",Hindi,English
You Only Love Me,Rita Ora,Hindi,English
BYE ME FUI,Bad Bunny,Hindi,English
Don't Worry Bout Me,Zara Larsson,Hindi,English
TELL ME WHY,The Kid LAROI,Hindi,English
Come and See Me (feat. Drake),"PARTYNEXTDOOR, Drake",Hindi,English
TERE TE,AP Dhillon,Hindi,English
Somebody Told Me,The Killers,Hindi,English
Somebody's Watching Me,"Chico Rose, 71 Digits",Hindi,English
Call Me What You Like,Lovejoy,Hindi,English
Looking at Me,Sabrina Carpenter,Hindi,English
Remind Me to Forget,"Kygo, Miguel",Hindi,English
You Found Me,The Fray,Hindi,English
Need Me,J.I the Prince of N.Y,Hindi,English
I Love Me,Demi Lovato,Hindi,English
me & ur ghost,blackbear,Hindi,English
Pour Some Sugar On Me - Remastered 2017,Def Leppard,Hindi,English
Dance with Me (feat. Thomas Rhett & Young Thug),"Diplo, Thomas Rhett, Young Thug",Hindi,English
Lie To Me (feat. Julia Michaels),"5 Seconds of Summer, Julia Michaels",Hindi,English
Count Me Out,Kendrick Lamar,Hindi,English
Hear Me Calling,Juice WRLD,Hindi,English
Call on Me - Radio Mix,Eric Prydz,Hindi,English
Throne,Bring Me The Horizon,Hindi,English
Notice Me,SZA,Hindi,English
Love Me or Leave Me,Little Mix,Hindi,English
Se Amerita,Junior H,Hindi,English
Choke,I DONT KNOW HOW BUT THEY FOUND ME,Hindi,English
Lady - Hear Me Tonight,Modjo,Hindi,English
Cry Me a River,Justin Timberlake,Hindi,English
Me Toc Morir,Fuerza Regida,Hindi,English
Que Me Importa,Natanael Cano,Hindi,English
Me Niego (feat. Ozuna & Wisin),"Reik, Ozuna, Wisin",Hindi,English
Woman Like Me (feat. Nicki Minaj),"Little Mix, Nicki Minaj",Hindi,English
Ball For Me (feat. Nicki Minaj),"Post Malone, Nicki Minaj",Hindi,English
Shayad,Pritam,English,Hindi
The Way You Make Me Feel - 2012 Remaster,Michael Jackson,Hindi,English
On Me (feat. Ava Max),"Thomas Rhett, Kane Brown, Ava Max",Hindi,English
Love Me Again,John Newman,Hindi,English
Why Do You Lie To Me (feat. Lil Baby),"Topic, A7S, Lil Baby",Hindi,English
Sit Next to Me,Foster The People,Hindi,English
Part Of Me,Katy Perry,Hindi,English
Lost Me,Giveon,Hindi,English
